store_id,ts,product_id,on_hand,reserved
ST-01,2026-01-10 18:00:00,PRD-A101,45,12
ST-01,2026-01-10 18:00:00,PRD-B203,38,8
ST-01,2026-01-10 18:00:00,PRD-C305,62,15
ST-01,2026-01-10 18:00:00,PRD-D407,88,22
ST-01,2026-01-10 18:00:00,PRD-E509,15,50
ST-01,2026-01-10 18:00:00,PRD-F611,55,10
ST-01,2026-01-10 18:00:00,PRD-G713,33,7
ST-02,2026-01-10 18:00:00,PRD-A101,52,18
ST-02,2026-01-10 18:00:00,PRD-B203,41,9
ST-02,2026-01-10 18:00:00,PRD-C305,70,20
ST-02,2026-01-10 18:00:00,PRD-D407,95,25
ST-02,2026-01-10 18:00:00,PRD-E509,-20,8
ST-02,2026-01-10 18:00:00,PRD-F611,48,12
ST-02,2026-01-10 18:00:00,PRD-G713,39,11
ST-03,2026-01-10 18:00:00,PRD-A101,58,14
ST-03,2026-01-10 18:00:00,PRD-B203,36,6
ST-03,2026-01-10 18:00:00,PRD-C305,65,18
ST-03,2026-01-10 18:00:00,PRD-D407,,19
ST-03,2026-01-10 18:00:00,PRD-E509,42,
ST-03,2026-01-10 18:00:00,PRD-F611,51,13
ST-03,2026-01-10 18:00:00,PRD-G713,29,5
ST-01,2026-01-11 18:00:00,PRD-A101,43,10
ST-01,2026-01-11 18:00:00,PRD-B203,35,7
ST-01,2026-01-11 18:00:00,PRD-C305,59,14
ST-02,2026-01-11 18:00:00,PRD-A101,49,16
ST-02,2026-01-11 18:00:00,PRD-B203,39,8
ST-02,2026-01-11 18:00:00,PRD-C305,68,19
ST-03,2026-01-11 18:00:00,PRD-A101,55,12
ST-03,2026-01-11 18:00:00,PRD-B203,34,5
ST-03,2026-01-11 18:00:00,PRD-C305,62,17
