order_id,store_id,ts,product_id,quantity,sale_price
ORD-001,ST-01,2026-01-01 09:15:30,PRD-A101,5,299.5
ORD-002,ST-02,2026-01-01 10:22:45,PRD-B203,2,159.0
ORD-003,ST-01,2026-01-01 11:05:12,PRD-C305,1,89.99
ORD-004,ST-03,2026-01-01 13:40:55,PRD-A101,9999,299.5
ORD-005,ST-02,2026-01-01 14:18:22,PRD-D407,7,45.0
ORD-006,ST-01,2026-01-02 08:30:15,PRD-B203,4,159.0
ORD-007,ST-03,2026-01-02 09:45:30,PRD-E509,2,199.99
ORD-008,ST-02,2026-01-02 11:20:40,PRD-A101,1,299.5
ORD-009,ST-01,2026-01-02 13:55:25,PRD-F611,6,75.5
ORD-010,ST-03,2026-01-02 15:10:50,PRD-C305,3,89.99
ORD-011,ST-02,2026-01-03 09:05:18,PRD-D407,5,45.0
ORD-012,ST-01,2026-01-03 10:35:42,PRD-G713,2,120.0
ORD-013,ST-03,2026-01-03 12:48:55,PRD-B203,1,159.0
ORD-014,ST-02,2026-01-03 14:22:10,PRD-A101,4,299.5
ORD-015,ST-01,2026-01-03 16:15:33,PRD-E509,2,199.99
ORD-016,ST-03,2026-01-04 08:20:45,PRD-F611,3,75.5
ORD-017,ST-02,2026-01-04 09:55:20,PRD-C305,5,89.99
ORD-018,ST-01,2026-01-04 11:30:15,PRD-D407,,45.0
ORD-019,ST-03,2026-01-04 13:45:50,PRD-G713,1,120.0
ORD-020,ST-02,2026-01-04 15:20:25,PRD-B203,3,
ORD-021,ST-01,2026-01-05 09:10:30,PRD-A101,2,299.5
ORD-022,ST-03,2026-01-05 10:40:15,PRD-E509,4,199.99
ORD-023,ST-02,2026-01-05 12:25:40,PRD-F611,1,75.5
ORD-024,ST-01,2026-01-05 14:05:55,PRD-C305,6,89.99
ORD-025,ST-03,2026-01-05 16:35:20,PRD-D407,3,45.0
ORD-026,ST-02,2026-01-06 08:45:10,PRD-G713,2,120.0
ORD-027,ST-01,2026-01-06 10:15:35,PRD-B203,5,159.0
ORD-028,ST-03,2026-01-06 12:50:22,PRD-A101,1,299.5
ORD-029,ST-02,2026-01-06 14:30:45,PRD-E509,3,199.99
ORD-030,ST-01,2026-01-06 16:10:18,PRD-F611,-5,75.5
ORD-031,ST-03,2026-01-07 09:25:40,PRD-C305,2,89.99
ORD-032,ST-02,2026-01-07 11:05:15,PRD-D407,5,-999.99
ORD-033,ST-01,2026-01-07 13:40:50,PRD-G713,3,120.0
ORD-034,ST-03,2026-01-07 15:15:25,PRD-B203,1,159.0
ORD-035,ST-02,2026-01-07 17:00:10,PRD-A101,4,299.5
ORD-036,ST-01,2026-01-08 08:30:20,PRD-E509,2,199.99
ORD-037,ST-03,2026-01-08 10:20:45,PRD-F611,6,75.5
ORD-038,ST-02,2026-01-08 12:35:30,PRD-C305,3,89.99
ORD-039,ST-01,2026-01-08 14:50:15,PRD-D407,1,45.0
ORD-040,ST-03,2026-01-08 16:25:40,PRD-G713,5,120.0
ORD-041,ST-02,2026-01-09 09:15:55,PRD-B203,2,159.0
ORD-042,ST-01,2026-01-09 11:40:20,PRD-A101,3,299.5
ORD-043,ST-03,2026-01-09 13:25:45,PRD-E509,4,199.99
ORD-044,ST-02,2026-01-09 15:10:30,PRD-F611,1,75.5
ORD-045,ST-01,2026-01-09 17:05:15,PRD-C305,5,89.99
ORD-046,ST-03,2026-01-10 08:50:40,PRD-D407,8888,45.0
ORD-047,ST-02,2026-01-10 10:35:25,PRD-G713,3,99999.99
ORD-048,ST-01,2026-01-10 12:20:50,PRD-B203,4,159.0
ORD-049,ST-03,2026-01-10 14:45:15,PRD-A101,1,299.5
ORD-050,ST-02,2026-01-10 16:30:35,PRD-E509,6,199.99
